plotNo,sitetype,H.m,Hs.m,Hc.m,Hc^1.9713,Hc^1.7,0.0002*Hc^1.9713,0.0002*Hc^1.927,0.0004*Hc^1.7,Hb,DBH.m,BA,Sum_Bi_Li,Ab,Ac,Ws,Wb,Wf,Wab,DC.m,rc,Age,Ws,Wb,Wf,Wab
21,2,23.65,2.1,21.55,425.2307008,184.8674142,0.08504614,0.074230587,0.073946966,2.793079882,0.3495,0.095936582,0.209637976,0.15011241,0.08757146,366.0369417,134.3314212,105.0699308,605.4382937,0.334,0.911205074,61,183.0184709,67.1657106,52.5349654,302.7191469
21,2,22.8,2.31,20.49,384.9839841,169.6763563,0.076996797,0.067355234,0.067870543,2.163095256,0.2695,0.057043665,0.073039053,0.06753198,0.052658585,207.20442,57.18726413,59.42299983,323.814684,0.259,0.898684211,62,103.60221,28.59363207,29.71149992,161.907342
21,2,22.26,10.07,12.19,138.3053898,70.17885845,0.027661078,0.024760484,0.028071543,1.532574941,0.2585,0.052482072,0.025232015,0.03292761,0.019845585,176.4420407,32.39334685,28.30707345,237.142461,0.159,0.547619048,63,88.22102035,16.19667343,14.15353673,118.5712305
21,2,19.43,4.23,15.2,213.6821599,102.1254774,0.042736432,0.037882845,0.040850191,2.59528643,0.267,0.05599025,0.082924216,0.06390371,0.046927496,173.703069,90.60936978,53.43197631,317.7444151,0.2445,0.782295419,65,86.8515345,45.30468489,26.71598816,158.8722076
21,2,21.84,8.11,13.73,174.859781,85.90924717,0.034971956,0.03114018,0.034363699,1.820951911,0.2545,0.050870435,0.034146636,0.03750416,0.031872766,183.6875597,35.34783389,34.24504856,253.2804422,0.2015,0.628663004,62,91.84377985,17.67391695,17.12252428,126.6402211
39,3,5.64,0.69,4.95,23.40319917,15.16452594,0.00468064,0.004360479,0.00606581,0.575734687,0.051,0.002042821,0.001118129,0.00194209,0.00264074,2.665027969,0.928036803,1.239902136,4.832966908,0.058,0.877659574,32,1.332513985,0.464018402,0.619951068,2.416483454
39,3,13.93,0.94,12.99,156.7681089,78.1871813,0.031353622,0.027986902,0.031274873,1.795323778,0.1665,0.021773004,0.034224149,0.03812588,0.025011866,45.25686203,22.19560855,21.66716898,89.11963956,0.1785,0.932519742,47,22.62843102,11.09780428,10.83358449,44.55981978
39,3,11.15,0.25,10.9,110.9376228,58.02632238,0.022187525,0.019959555,0.023210529,1.274743798,0.125,0.012271846,0.011915024,0.01869399,0.022820146,23.30725217,7.166629716,8.881439942,39.35532183,0.1705,0.977578475,95,11.65362609,3.583314858,4.440719971,19.67766092
39,3,14.45,0.73,13.72,174.6088129,85.8029045,0.034921763,0.03109649,0.034321162,1.767761262,0.217,0.036983614,0.048930041,0.0553582,0.045593585,77.26542647,34.62716104,41.7550775,153.647665,0.241,0.949480969,42,38.63271324,17.31358052,20.87753875,76.8238325
39,3,9.62,0.99,8.63,70.00967823,39.01380893,0.014001936,0.012726905,0.015605524,1.306451834,0.1125,0.009940196,0.019331894,0.01479725,0.011023166,15.35272871,16.83178466,9.217234061,41.40174743,0.1185,0.897089397,40,7.676364355,8.41589233,4.608617031,20.70087372
39,3,11.03,1.13,9.9,91.76892813,49.26969012,0.018353786,0.016581317,0.019707876,1.262240717,0.1115,0.009764266,0.01690009,0.02677792,0.010381625,19.71231212,15.01473841,10.52533538,45.25238591,0.115,0.897552131,43,9.85615606,7.507369205,5.26266769,22.62619296
21,3,9.25,1.39,7.86,58.22995641,33.28268298,0.011645991,0.010629412,0.013313073,1.182353867,0.095,0.007088218,0.011534093,0.009755195,0.007084625,13.35498022,8.886410592,5.360293252,27.60168406,0.095,0.84972973,42,6.67749011,4.443205296,2.680146626,13.80084203
21,3,12.51,2.43,10.08,95.08713166,50.802245,0.019017426,0.017167159,0.020320898,1.404962515,0.139,0.015174678,0.012608302,0.01794824,0.013885865,33.2203,9.832695226,9.540366053,52.59336128,0.133,0.805755396,49,16.61015,4.916347613,4.770183027,26.29668064
21,3,14.02,0.64,13.38,166.1816001,82.21960629,0.03323632,0.029628586,0.032887843,1.693900918,0.173,0.023506182,0.040366074,0.04766049,0.037649385,55.14096623,31.22129085,28.75260924,115.1148663,0.219,0.954350927,49,27.57048312,15.61064543,14.37630462,57.55743315
21,2,11.65,1.2,10.45,102.0901738,54.01292465,0.020418035,0.018402087,0.02160517,1.281455982,0.124,0.012076282,0.011500946,0.01794981,0.011973016,24.55741725,7.755034445,12.29086675,44.60331845,0.1235,0.896995708,37,12.27870863,3.877517223,6.145433375,22.30165923
21,2,5.91,0.66,5.25,26.28149311,16.75987657,0.005256299,0.004884015,0.006703951,0.64703429,0.054,0.002290221,0.000966067,0.00149307,0.003265796,3.642810149,3.189263743,1.932364496,8.764438388,0.0645,0.888324873,28,1.821405075,1.594631872,0.966182248,4.382219194
21,2,5.91,0.88,5.03,24.15466224,15.58352043,0.004830932,0.004497296,0.006233408,0.822226381,0.067,0.003525652,0.004964138,0.006037435,0.004013116,5.17836621,5.453954203,3.638898532,14.27121895,0.0715,0.851099831,32,2.589183105,2.726977102,1.819449266,7.135609475
3,3,27.05,6.75,20.3,377.9783628,167.0103032,0.075595673,0.066156856,0.066804121,2.518714106,0.3445,0.09321125,0.117401622,0.09322346,0.0660185,387.9971306,75.33518575,76.10174534,539.4340617,0.29,0.750462107,73,193.9985653,37.66759288,38.05087267,269.7170309
3,3,18.99,8.5,10.49,102.8619421,54.364867,0.020572388,0.018538063,0.021745947,1.870981425,0.244,0.046759465,0.031553989,0.03372988,0.025152185,153.5305646,37.74231212,26.97538751,218.2482642,0.179,0.552395998,72,76.7652823,18.87115606,13.48769376,109.1241321
3,3,18.69,5.55,13.14,160.3566753,79.72822967,0.032071335,0.028612991,0.031891292,2.062796414,0.2215,0.038533401,0.044729791,0.04336811,0.03015656,121.6907471,20.17709034,1.310120208,143.1779576,0.196,0.703049759,77,60.84537355,10.08854517,0.655060104,71.5889788
3,3,12.93,6.21,6.72,42.75560419,25.49927098,0.008551121,0.00785906,0.010199708,1.342140052,0.1395,0.015284045,0.008383336,0.01249249,0.009759316,34.24527252,5.4834884,14.40099837,54.12975929,0.1115,0.519721578,71,17.12263626,2.7417442,7.200499185,27.06487965
3,3,24.84,7.65,17.19,272.332414,125.8835525,0.054466483,0.048018281,0.050353421,2.349333805,0.362,0.102921717,0.098064928,0.08348318,0.057864116,342.7877055,67.45887388,48.61314376,458.8597231,0.2715,0.692028986,70,171.3938528,33.72943694,24.30657188,229.4298616
39,2,15.34,6.75,8.59,69.37144228,38.70689893,0.013874288,0.012613477,0.01548276,1.360668143,0.1635,0.02099546,0.014196443,0.02086687,0.013368746,65.75459139,13.45249848,13.02512671,92.23221658,0.1305,0.559973924,55,32.8772957,6.72624924,6.512563355,46.11610829
39,2,13.1,3.66,9.44,83.55304701,45.44147191,0.016710609,0.01512868,0.018176589,1.347908374,0.138,0.014957123,0.010035097,0.01488988,0.010654216,33.01453734,10.1847432,9.774033407,52.97331395,0.1165,0.720610687,49,16.50726867,5.0923716,4.887016704,26.48665698
39,2,20.46,4.65,15.81,230.9161964,109.1903301,0.046183239,0.040866901,0.043676132,1.86872828,0.2265,0.040292693,0.035315395,0.03779618,0.034453846,144.0859283,27.57873891,27.42983718,199.0945044,0.2095,0.772727273,46,72.04296415,13.78936946,13.71491859,99.5472522
21,3,13.75,3.35,10.4,101.1294911,53.57432116,0.020225898,0.018232795,0.021429728,2.150992837,0.183,0.026302199,0.026764879,0.02488607,0.021892865,70.61194085,19.60882357,18.2945996,108.515364,0.167,0.756363636,81,35.30597043,9.804411785,9.1472998,54.257682
21,3,10.74,1.93,8.81,72.91737205,40.40722671,0.014583474,0.013243372,0.016162891,1.245822001,0.1085,0.009245904,0.007378786,0.01184565,0.008654625,17.1194907,7.137647252,8.891942533,33.14908049,0.105,0.820297952,60,8.55974535,3.568823626,4.445971267,16.57454025
21,3,10.03,1.65,8.38,66.06796559,37.11204035,0.013213593,0.012026001,0.014844816,1.183005175,0.1245,0.012173868,0.007110742,0.01202149,0.011116385,21.08165015,6.280487346,9.431649963,36.79378746,0.119,0.835493519,50,10.54082508,3.140243673,4.715824982,18.39689373
3,3,19.47,6.68,12.79,152.0456167,76.15175658,0.030409123,0.027162487,0.030460703,1.807025082,0.2355,0.043558378,0.044534269,0.04929015,0.03203114,145.985014,41.53077397,27.10666329,214.6224513,0.202,0.656908064,52,72.992507,20.76538699,13.55333165,107.3112257
3,3,14.44,5.18,9.26,80.4415144,43.97832429,0.016088303,0.014577712,0.01759133,1.097522075,0.1265,0.012568138,0.006800252,0.01239201,0.009071656,31.02717728,8.397031577,9.779727414,49.20393627,0.1075,0.641274238,52,15.51358864,4.198515789,4.889863707,24.60196814
3,3,18.65,6.51,12.14,137.189318,69.69020908,0.027437864,0.024565149,0.027876084,1.504627291,0.212,0.035298935,0.023315554,0.0309918,0.023494265,106.2757774,23.02403655,23.86063842,153.1604524,0.173,0.650938338,56,53.1378887,11.51201828,11.93031921,76.5802262
3,3,20.32,7,13.32,164.7157691,81.59380424,0.032943154,0.02937309,0.032637522,1.658040452,0.2285,0.041007405,0.031616237,0.03813687,0.025859666,130.316352,31.85056904,34.02168923,196.1886103,0.1815,0.655511811,56,65.158176,15.92528452,17.01084462,98.09430515
3,3,13.94,6.5,7.44,52.25546634,30.31614604,0.010451093,0.009562051,0.012126458,1.063299763,0.134,0.014102609,0.005791081,0.01089266,0.007616266,31.92274001,8.356150061,9.192128583,49.47101865,0.0985,0.533715925,53,15.96137001,4.178075031,4.596064292,24.73550933
35,3,17.59,2.89,14.7,200.0472852,96.48048302,0.040009457,0.035518163,0.038592193,1.69191788,0.22,0.038013271,0.033470848,0.03956557,0.032189906,105.8773823,23.05336527,21.71437795,150.6451255,0.2025,0.835702103,47,52.93869115,11.52668264,10.85718898,75.32256275
35,3,17.08,2.29,14.79,202.4688711,97.48681815,0.040493774,0.035938394,0.038994727,1.739720247,0.217,0.036983614,0.04436959,0.05100773,0.033799156,113.8365705,32.18472294,25.2817745,171.3030679,0.2075,0.865925059,59,56.91828525,16.09236147,12.64088725,85.65153395
37,3,15.06,6.16,8.9,74.39307666,41.11147051,0.014878615,0.013505309,0.016444588,1.169927898,0.1425,0.015948491,0.009627518,0.01645831,0.011209996,43.97357513,10.03872873,11.07269824,65.0850021,0.1195,0.590969456,49,21.98678757,5.019364365,5.53634912,32.54250105
37,3,11.75,4.76,6.99,46.20807288,27.26535764,0.009241615,0.008478861,0.010906143,0.867595073,0.0915,0.00657555,0.002201874,0.00507581,0.004837366,17.47800705,3.705896862,2.116287328,23.30019124,0.0785,0.594893617,48,8.739003525,1.852948431,1.058143664,11.65009562
37,3,13.46,3.9,9.56,85.65971854,46.42783335,0.017131944,0.015501451,0.018571133,0.993696907,0.1165,0.01065962,0.004379992,0.00881555,0.00882026,30.75532462,4.363500637,6.411176929,41.53000219,0.106,0.7102526,49,15.37766231,2.181750319,3.205588465,20.7650011
3,2,21.95,1.7,20.25,376.1453149,166.311602,0.075229063,0.065843214,0.066524641,2.622755354,0.3225,0.081686318,0.15445384,0.11777983,0.079132906,254.6736383,102.7943071,83.6926735,441.1606189,0.3175,0.922551253,60,127.3368192,51.39715355,41.84633675,220.5803095
3,2,19.94,0.8,19.14,336.5829662,151.1128119,0.067316593,0.059065257,0.060445125,2.891194438,0.332,0.086569727,0.176862156,0.12234539,0.094793656,211.9344139,108.1439374,84.03306548,404.1114168,0.3475,0.959879639,63,105.967207,54.0719687,42.01653274,202.0557084
3,2,10.21,1.5,8.71,71.29478915,39.63061971,0.014258958,0.012955226,0.015852248,1.753340602,0.1685,0.022299221,0.03420423,0.03901607,0.02215584,39.36221131,26.35835313,24.40202825,90.12259269,0.168,0.853085211,37,19.68110566,13.17917657,12.20101413,45.06129635
3,2,11.15,0.5,10.65,105.9776492,55.78203235,0.02119553,0.019086781,0.022312813,1.573270139,0.136,0.014526724,0.02135715,0.02715001,0.01959674,28.85766959,16.13397601,16.3799091,61.3715547,0.158,0.955156951,34,14.4288348,8.066988005,8.18995455,30.68577735
3,3,10.8,0.74,10.06,94.71557484,50.63100724,0.018943115,0.017101583,0.020252403,1.37088132,0.1225,0.011785881,0.030117982,0.04393959,0.013368746,21.13368398,16.21004694,11.96856288,49.3122938,0.1305,0.931481481,90,10.56684199,8.10502347,5.98428144,24.6561469
3,3,7.24,1.75,5.49,28.70244957,18.08310423,0.00574049,0.005323361,0.007233242,0.908187197,0.081,0.005152997,0.006424185,0.007073635,0.004837366,7.354783772,7.181455999,4.675479459,19.21171923,0.0785,0.758287293,45,3.677391886,3.590728,2.33773973,9.605859615
3,3,6.81,2.85,3.96,15.07427799,10.37723893,0.003014856,0.002836538,0.004150896,0.692025394,0.068,0.003631681,0.002738473,0.003957185,0.002595406,6.305120113,4.194620882,2.806554734,13.30629573,0.0575,0.581497797,47,3.152560057,2.097310441,1.403277367,6.653147865
21,3,7.3,0.3,7,46.33847812,27.33170144,0.009267696,0.008502251,0.010932681,1.494243515,0.104,0.008494867,0.041929385,0.02806061,0.016390996,11.14366553,23.92400872,10.60257483,45.67024908,0.1445,0.95890411,33,5.571832765,11.96200436,5.301287415,22.83512454
21,3,5.84,0.81,5.03,24.15466224,15.58352043,0.004830932,0.004497296,0.006233408,0.940332279,0.066,0.003421194,0.007035411,0.007481835,0.004899185,3.972419538,5.259819622,3.840873381,13.07311254,0.079,0.86130137,32,1.986209769,2.629909811,1.920436691,6.53655627
21,3,5.67,0.45,5.22,25.98626498,16.59739214,0.005197253,0.004830377,0.006638957,1.159426273,0.0705,0.003903625,0.010206418,0.00880299,0.005873566,4.621837232,8.328756323,4.323894453,17.27448801,0.0865,0.920634921,30,2.310918616,4.164378162,2.161947227,8.637244005
19,3,14.52,1.37,13.15,160.5973359,79.8314063,0.032119467,0.028654968,0.031932563,1.351058047,0.147,0.016971669,0.011719415,0.0173485,0.00166106,48.9358994,8.88172572,9.860888209,67.67851333,0.046,0.905647383,76,24.4679497,4.44086286,4.930444105,33.83925667
19,3,12.75,1.86,10.89,110.7370779,57.93585167,0.022147416,0.019924284,0.023174341,1.211741555,0.127,0.012667687,0.00694008,0.01145472,0.011876265,30.28694897,6.497953119,8.14957375,44.93447584,0.123,0.854117647,75,15.14347449,3.24897656,4.074786875,22.46723792
19,3,6.92,1.5,5.42,27.98548215,17.69289039,0.005597096,0.005193338,0.007077156,0.863592716,0.0785,0.00483982,0.004051252,0.00469116,0.004654265,7.752702192,7.623199621,3.959956402,19.33585822,0.077,0.783236994,68,3.876351096,3.811599811,1.979978201,9.66792911
25,2,13.53,2.53,11,112.9529038,58.93422336,0.022590581,0.020313918,0.023573689,1.458175388,0.1205,0.011404178,0.009442364,0.01295093,0.010023665,27.84047923,7.738351444,6.546328883,42.12515956,0.113,0.81300813,59,13.92023962,3.869175722,3.273164442,21.06257978
25,2,15.02,5.67,9.35,81.99000795,44.70743342,0.016398002,0.014851967,0.017882973,1.338358921,0.1735,0.023642252,0.013622232,0.02035662,0.013990466,59.58406662,14.44000108,12.07423099,86.09829869,0.1335,0.622503329,81,29.79203331,7.22000054,6.037115495,43.04914935
25,2,12.02,2.51,9.51,84.77879765,46.01578962,0.01695576,0.015345599,0.018406316,1.12999017,0.1075,0.009076258,0.004696889,0.00831315,0.008247406,19.97814971,4.39671527,4.225725281,28.60059026,0.1025,0.791181364,57,9.989074855,2.198357635,2.112862641,14.30029513
25,2,12.09,5.97,6.12,35.55683353,21.75090931,0.007111367,0.006562963,0.008700364,1.170420516,0.1225,0.011785881,0.002715914,0.00464092,0.008007785,28.51499731,10.95859525,7.30336062,46.77695318,0.101,0.506203474,60,14.25749866,5.479297625,3.65168031,23.38847659
25,2,17.77,4.67,13.1,159.3958115,79.31607278,0.031879162,0.028445383,0.031726429,1.433482997,0.1675,0.022035327,0.013783606,0.01923093,0.018738146,80.1624714,13.15580286,11.1470923,104.4653666,0.1545,0.737197524,56,40.0812357,6.57790143,5.57354615,52.2326833
3,2,22.51,2.9,19.61,353.0702137,157.475106,0.070614043,0.061891972,0.062990042,1.892545021,0.2165,0.036813379,0.032666425,0.03452116,0.032989625,134.8703447,24.75412813,26.97076246,186.5952353,0.205,0.87116837,79,67.43517235,12.37706407,13.48538123,93.29761765
3,2,22.58,4.4,18.18,304.1147002,138.4553029,0.06082294,0.05348936,0.055382121,2.084800036,0.27,0.057255526,0.055615491,0.05335331,0.031086785,197.8753721,39.76032545,36.31689214,273.9525897,0.199,0.80513729,65,98.93768605,19.88016273,18.15844607,136.9762949
3,2,24.71,4.8,19.91,363.7970515,161.5924784,0.07275941,0.063729471,0.064636991,2.025742084,0.243,0.046376976,0.051366884,0.05071414,0.04080744,201.0387131,36.6380635,37.90848453,275.5852611,0.228,0.805746661,90,100.5193566,18.31903175,18.95424227,137.7926306
3,2,10.55,0.45,10.1,95.45940523,50.97372075,0.019091881,0.017232857,0.020389488,1.669420441,0.149,0.017436625,0.032761066,0.03924843,0.019845585,31.75382594,19.75472909,24.7203413,76.22889633,0.159,0.957345972,25,15.87691297,9.877364545,12.36017065,38.11444817
3,2,4.34,0.28,4.06,15.83388076,10.82665398,0.003166776,0.002976183,0.004330662,0.782083216,0.053,0.002206183,0.003552844,0.004542795,0.003367846,2.202724862,3.595813065,2.916938539,8.715476466,0.0655,0.935483871,21,1.101362431,1.797906533,1.45846927,4.357738233
21,3,6.05,0.6,5.45,28.29165966,17.85969566,0.005658332,0.005248873,0.007143878,0.888109524,0.0585,0.002687829,0.00433707,0.004883485,0.003576656,3.228330042,3.114355195,2.090465208,8.433150445,0.0675,0.900826446,41,1.614165021,1.557177598,1.045232604,4.216575223
21,3,8.45,0.62,7.83,57.7926437,33.06701524,0.011558529,0.010551371,0.013226806,1.075346565,0.1035,0.008413381,0.010528202,0.00979052,0.009585046,12.7563976,8.208342813,6.019701861,26.98444227,0.1105,0.926627219,41,6.3781988,4.104171407,3.009850931,13.49222114
21,3,9.33,0.45,8.88,74.06388335,40.95453901,0.014812777,0.013446888,0.016381816,1.235921108,0.1305,0.013375527,0.023335204,0.01888082,0.016390996,21.22368076,21.05025877,11.31362562,53.58756515,0.1445,0.951768489,41,10.61184038,10.52512939,5.65681281,26.79378258
23,2,5.4,0.83,4.57,19.99368314,13.23907188,0.003998737,0.003738424,0.005295629,0.863873542,0.069,0.003739281,0.004155646,0.00481048,0.004356946,3.660680133,4.776747036,3.197759831,11.635187,0.0745,0.846296296,28,1.830340067,2.388373518,1.598879916,5.8175935
23,2,6,0.34,5.66,30.48084699,19.04530504,0.006096169,0.005645563,0.007618122,0.849067562,0.07,0.003848451,0.003931123,0.00462993,0.0063585,4.949404254,4.010180614,3.000972444,11.96055731,0.09,0.943333333,27,2.474702127,2.005090307,1.500486222,5.980278655
23,2,4.37,0.62,3.75,13.53903896,9.459172711,0.002707808,0.002553808,0.003783669,0.670710134,0.0525,0.002164754,0.001932809,0.002881735,0.002826,1.98288864,2.002091712,1.507418617,5.492398969,0.06,0.85812357,24,0.99144432,1.001045856,0.753709309,2.746199485
29,3,19.76,4.69,15.07,210.094486,100.6450753,0.042018897,0.037260977,0.04025803,1.797781566,0.226,0.040114997,0.043208502,0.04806869,0.031557196,129.7658144,28.04276451,27.95500043,185.7635793,0.2005,0.762651822,64,64.8829072,14.02138226,13.97750022,92.88178965
29,3,14.74,4.22,10.52,103.4426476,54.62944114,0.02068853,0.018640361,0.021851776,1.426748987,0.1485,0.017319797,0.018255967,0.025591,0.01367784,46.02481379,14.21264387,11.90033241,72.13779007,0.132,0.713704206,65,23.0124069,7.106321935,5.950166205,36.06889504
29,3,15.27,4.06,11.21,117.2431678,60.85966275,0.023448634,0.02106784,0.024343865,1.30238041,0.1615,0.020484951,0.011962735,0.01837057,0.015276296,52.9986458,12.08769731,10.66765012,75.75399323,0.1395,0.734119188,57,26.4993229,6.043848655,5.33382506,37.87699662
25,2,22.98,5.98,17,266.4305116,123.5273618,0.053286102,0.04700078,0.049410945,1.59026891,0.202,0.032047387,0.025499024,0.03206882,0.025717385,136.2652092,18.22165618,21.17118777,175.6580532,0.181,0.739773716,69,68.1326046,9.11082809,10.58559389,87.8290266
25,2,22.53,7.1,15.43,220.1028926,104.7664129,0.044020579,0.038995198,0.041906565,1.788536636,0.23,0.041547563,0.024007018,0.02684543,0.028040985,154.6886929,19.78492829,19.3024316,193.7760528,0.189,0.684864625,92,77.34434645,9.892464145,9.6512158,96.8880264
25,2,25.81,8.1,17.71,288.8106804,132.4254795,0.057762136,0.050856581,0.052970192,1.914495722,0.2505,0.049283931,0.053416833,0.05580251,0.040450265,221.588653,36.29246732,30.83015273,288.7112731,0.227,0.686168152,93,110.7943265,18.14623366,15.41507637,144.3556366
25,2,23.46,8.4,15.06,209.8197509,100.531567,0.04196395,0.037213346,0.040212627,1.70504475,0.239,0.044862728,0.035170717,0.04125489,0.031714785,194.7032414,30.33767751,26.20376094,251.2446799,0.201,0.641943734,72,97.3516207,15.16883876,13.10188047,125.62234
25,2,24.99,3.2,21.79,434.6167681,188.3810839,0.086923354,0.075831855,0.075352434,2.139338772,0.297,0.069279187,0.086422622,0.08079377,0.060886366,275.7309704,59.8143182,54.64757298,390.1928616,0.2785,0.87194878,71,137.8654852,29.9071591,27.32378649,195.0964308
31,2,26.33,5.98,20.35,379.8158012,167.7102101,0.07596316,0.066471216,0.067084084,2.129322817,0.2675,0.056200147,0.066872437,0.06281099,0.043167346,237.6502756,31.97311195,23.41521925,293.0386068,0.2345,0.772882643,92,118.8251378,15.98655598,11.70760963,146.5193034
31,2,24.01,8.6,15.41,219.5408502,104.5356649,0.04390817,0.038897857,0.041814266,1.74342518,0.2655,0.055362913,0.04996307,0.05731599,0.038340185,244.7600074,49.79115869,44.18314787,338.734314,0.221,0.64181591,93,122.3800037,24.89557935,22.09157394,169.367157
31,2,24.76,5.5,19.26,340.7555439,152.7269507,0.068151109,0.059780928,0.06109078,2.312495563,0.348,0.095114859,0.086158197,0.07451534,0.067621666,328.1991148,88.71227054,66.5116828,483.4230681,0.2935,0.777867528,23,164.0995574,44.35613527,33.2558414,241.7115341
31,2,24.72,9.12,15.6,224.9088375,106.7362197,0.044981767,0.039827321,0.042694488,1.959535531,0.283,0.062901754,0.060032713,0.06127239,0.037821496,252.9199219,55.31695682,43.03021233,351.2670911,0.2195,0.631067961,77,126.459961,27.65847841,21.51510617,175.6335456
31,2,25.38,6.2,19.18,337.9710109,151.6500734,0.067594202,0.059303354,0.060660029,2.319489496,0.319,0.079922903,0.110182025,0.09500541,0.059365625,319.0363714,72.6791898,46.58196956,438.2975308,0.275,0.75571316,96,159.5181857,36.3395949,23.29098478,219.1487654
33,3,24.92,8.94,15.98,235.8364324,111.193786,0.047167286,0.0417179,0.044477514,1.867214514,0.3135,0.077190699,0.051175663,0.05481498,0.049653016,290.7649979,40.64482723,28.51363708,359.9234622,0.2515,0.641252006,91,145.382499,20.32241362,14.25681854,179.9617311
